Primary Key,Website,City,State,Zip Code,General Admission,Senior,Student,Children,,
Birmingham Museum of Art,artsbma.org,Birmingham,Alabama,35203,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,
 Huntsville Museum of Art,hsvmuseum.org,Huntsville,Alabama,35801,$10.00 ,$8.00 ,$5.00 ,$0.00 ,,
 Mobile Museum of Art,mobilemuseumofart.com,Mobile,Alabama,36608,$12.00 ,$10.00 ,$8.00 ,$0.00 ,,
 Montgomery Museum of Fine Arts,mmfa.org,Montgomery,Alabama,36117,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,
 Anchorage Museum of Art and History,anchoragemuseum.org,Anchorage,Alaska,99501,$18.00 ,$15.00 ,$9.00 ,$0.00 ,,
 Phoenix Art Museum,phxart.org,Phoenix,Arizona,85004,$23.00 ,$20.00 ,$18.00 ,$14.00 ,,
 ASU Art Museum,asuartmuseum.asu.edu,Tempe,Arizona,85281,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,
 Tucson Museum of Art,tucsonmuseumofart.org,Tucson,Arizona,85701,$12.00 ,$10.00 ,$7.00 ,$0.00 ,,
 Crystal Bridges Museum of American Art,crystalbridges.org,Bentonville,Arkansas,72701,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,
 Arkansas Arts Center,arkansasartscenter.org,Little Rock,Arkansas,72202,,,,,,
 J. Paul Getty Museum,getty.edu/museum,Los Angeles,California,90049,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,
 Hammer Museum,hammer.ucla.edu,Los Angeles,California,90024,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,
 Los Angeles County Museum of Art,lacma.org,Los Angeles,California,90036,$25.00 ,,,$0.00 ,,
" Museum of Contemporary Art, Los Angeles",moca.org,Los Angeles,California,90012,$15.00 ,,,$0.00 ,,
 The Broad,thebroad.org,Los Angeles,California,90012,$25.00 ,,,,,
 Palm Springs Art Museum,psmuseum.org,Palm Springs,California,92262,$15.00 ,,,,,
 Norton Simon Museum,nortonsimon.org,Pasadena,California,91108,$15.00 ,,,,,
USC Pacific Asia Museum,pacificasiamuseum.usc.edu,Pasadena,California,91101,$10.00 ,,,,,
 Crocker Art Museum,crockerart.org,Sacramento,California,95814,$12.00 ,,,,,
 Mingei International Museum,mingei.org,San Diego,California,92101,$10.00 ,,,,,
Museum of Contemporary Art San Diego,mcasd.org,San Diego,California,92101,$10.00 ,,,,,
San Diego Museum of Art,sdma.org,San Diego,California,92101,$20.00 ,,,,,
Timken Museum of Art,timkenmuseum.org,San Diego,California,92103,$0.00 ,,,,,
 Huntington Library,huntington.org,San Marino,California,91108,$25.00 ,,,,,
 San Francisco Museum of Modern Art,sfmoma.org,San Francisco,California,94103,$25.00 ,,,,,
California Palace of the Legion of Honor,legionofhonor.famsf.org,San Francisco,California,94121,$15.00 ,,,,,
M. H. de Young Memorial Museum,deyoung.famsf.org,San Francisco,California,94118,$20.00 ,,,,,
Asian Art Museum of San Francisco,asianart.org,San Francisco,California,94102,$25.00 ,,,,,
Exploratorium,exploratorium.edu,San Francisco,California,94111,$35.00 ,,,,,
 Santa Barbara Museum of Art,sbma.net,Santa Barbara,California,93101,$15.00 ,,,,,
 Santa Monica Art Museum,santamonicaartmuseum.com,Santa Monica,California,90401,$12.00 ,,,,,
 Iris & B. Gerald Cantor Center for Visual Arts,museum.stanford.edu,Stanford,California,94305,$0.00 ,,,,,
 Aspen Art Museum,aspenartmuseum.org,Aspen,Colorado,81611,$0.00 ,,,,,
American Museum of Western Art,anschutzcollection.org,Denver,Colorado,80204,,,,,,
Clyfford Still Museum,clyffordstillmuseum.org,Denver,Colorado,80204,$15.00 ,,,,,
Denver Art Museum,denverartmuseum.org,Denver,Colorado,80204,$20.00 ,,,,,
Denver Public Library,denverlibrary.org,Denver,Colorado,80204,$0.00 ,,,,,
 Hill-Stead Museum,hillstead.org,Farmington,Connecticut,06070,$15.00 ,,,,,
 Wadsworth Atheneum,thewadsworth.org,Hartford,Connecticut,06103,$15.00 ,,,,,
 New Britain Museum of American Art,nbmaa.org,New Britain,Connecticut,06052,$15.00 ,,,,,
 Yale Center for British Art,britishart.yale.edu,New Haven,Connecticut,06520,$0.00 ,,,,,
Yale University Art Gallery,artgallery.yale.edu,New Haven,Connecticut,06520,$0.00 ,,,,,
 Florence Griswold Museum,florencegriswoldmuseum.org,Old Lyme,Connecticut,06371,$15.00 ,,,,,
 Biggs Museum of American Art,biggsmuseum.org,Dover,Delaware,19901,$10.00 ,,,,,
 Henry Francis du Pont Winterthur Museum,winterthur.org,Greenville,Delaware,19735,$25.00 ,,,,,
 Delaware Art Museum,delart.org,Wilmington,Delaware,19806,$15.00 ,,,,,
Delaware Center for the Contemporary Arts,thedcca.org,Wilmington,Delaware,19801,$10.00 ,,,,,
 Boca Raton Museum of Art,bocamuseum.org,Boca Raton,Florida,33432,$12.00 ,,,,,
 Samuel P. Harn Museum of Art at the University of Florida,harn.ufl.edu,Gainesville,Florida,32611,$0.00 ,,,,,
 Museum of Contemporary Art Jacksonville,mocajacksonville.unf.edu,Jacksonville,Florida,32202,$10.00 ,,,,,
 Polk Museum of Art,polkmuseumofart.org,Lakeland,Florida,33801,$10.00 ,,,,,
 Bass Museum,thebass.org,Miami,Florida,33139,$15.00 ,,,,,
Patricia & Phillip Frost Art Museum,frost.fiu.edu,Miami,Florida,33199,$0.00 ,,,,,
Lowe Art Museum,lowe.miami.edu,Miami,Florida,33124,$12.00 ,,,,,
Pérez Art Museum Miami,pamm.org,Miami,Florida,33132,$16.00 ,,,,,
"Institute of Contemporary Art, Miami",icamiami.org,Miami,Florida,33137,$15.00 ,,,,,
Museum of Contemporary Art North Miami,mocanomi.org,Miami,Florida,33161,$10.00 ,,,,,
Wolfsonian-FIU Museum,wolfsonian.org,Miami,Florida,33139,$12.00 ,,,,,
 Naples Museum of Art,artisnaples.org,Naples,Florida,34108,$15.00 ,,,,,
 Appleton Museum of Art,appletonmuseum.org,Ocala,Florida,34474,$10.00 ,,,,,
 Orlando Museum of Art,omart.org,Orlando,Florida,32803,$15.00 ,,,,,
 Ringling Museum of Art,ringling.org,Sarasota,Florida,34243,$25.00 ,,,,,
